race,circuit,year,lap,position,time,pit_time
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,58,6,87.646,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,57,6,87.042,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,56,6,87.062,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,55,6,87.148,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,54,6,86.88,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,53,6,87.834,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,52,6,87.403,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,51,6,87.396,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,50,6,87.635,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,49,6,88.045,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,48,6,88.352,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,47,6,88.006,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,46,6,88.482,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,45,6,88.124,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,44,6,87.98,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,43,6,88.029,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,42,6,88.015,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,41,6,88.048,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,40,6,88.244,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,39,6,88.288,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,38,6,88.21,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,37,6,88.76,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,36,6,88.315,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,35,6,88.564,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,34,6,89.221,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,33,6,88.94,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,32,6,90.266,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,31,6,134.396,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,30,5,118.528,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,29,5,108.521,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,28,5,123.267,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,27,5,125.786,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,26,6,121.221,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,25,6,96.424,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,24,9,87.955,NA
